epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.456,1.05823,4.48166,1.5301,0.00285,1,0.33547,0.22449,0.28797,16.884,0.97589,0.00028339,0.00028339,0.00028339
2,44.3587,0.6958,3.38069,1.33935,0.0026,1,0.45013,0.35559,0.42803,17.4395,1.0836,0.000571898,0.000571898,0.000571898
3,62.3948,1.12153,4.81061,1.72553,0.00264,1,0.09779,0.05736,0.64416,17.5521,1.41401,0.000848523,0.000848523,0.000848523
4,80.6539,1.07917,4.21793,1.53954,0.00308,1,0.17973,0.05913,1.34209,16.8215,1.53236,0.00111327,0.00111327,0.00111327
5,98.5373,0.91764,3.60275,1.47779,0.28181,0.375,0.36238,0.20565,0.74434,15.2468,1.344,0.00136613,0.00136613,0.00136613
6,117.062,0.63435,4.07382,1.2313,0.19252,0.25,0.34464,0.13375,1.08772,15.1374,1.72324,0.00150197,0.00150197,0.00150197
7,134.577,0.82894,4.65724,1.30067,0.53352,0.57542,0.45342,0.10687,1.83766,15.4683,2.65842,0.00146896,0.00146896,0.00146896
8,152.581,0.81662,3.29295,1.41073,0.42784,0.25,0.22305,0.05776,1.54612,18.3614,2.2907,0.00143595,0.00143595,0.00143595
9,170.737,0.80124,2.93764,1.40516,0.23308,0.125,0.11615,0.03967,1.50695,19.2944,2.00446,0.00140295,0.00140295,0.00140295
10,189.329,0.89142,5.39958,1.40029,0.15404,0.375,0.10278,0.04379,1.66385,16.2958,1.96044,0.00136994,0.00136994,0.00136994
11,207.914,0.82003,3.10205,1.4434,0.13381,0.25,0.12941,0.0299,1.86872,14.5234,2.21833,0.00133693,0.00133693,0.00133693
12,226.582,0.84683,2.56171,1.43041,0.55302,0.375,0.40189,0.21078,0.62213,17.0654,1.40264,0.00130393,0.00130393,0.00130393
13,244.658,0.91832,5.99459,1.31587,0.25967,0.625,0.23667,0.13192,0.77412,14.2669,1.51837,0.00127092,0.00127092,0.00127092
14,263.262,0.78251,3.2431,1.26674,0.20383,0.625,0.23431,0.14798,0.61719,12.6632,1.32735,0.00123791,0.00123791,0.00123791
15,280.797,0.67414,5.0199,1.1917,0.16847,0.375,0.21369,0.13305,0.60189,11.7055,1.3102,0.00120491,0.00120491,0.00120491
16,298.135,0.75328,3.87839,1.33699,0.35417,0.875,0.37125,0.22933,0.62591,11.0337,1.35998,0.0011719,0.0011719,0.0011719
17,315.568,0.71414,3.68844,1.24811,0.34917,0.53861,0.46075,0.30831,0.78487,10.7224,1.52171,0.00113889,0.00113889,0.00113889
18,333.295,0.73962,2.82972,1.35823,0.62179,0.375,0.51589,0.36089,0.86954,10.4856,1.63946,0.00110589,0.00110589,0.00110589
19,354.054,0.72355,2.2953,1.31151,0.70405,0.59813,0.58395,0.36643,0.94242,10.5048,1.71665,0.00107288,0.00107288,0.00107288
20,375.114,0.71178,2.6975,1.34729,0.43573,0.625,0.47884,0.33931,0.95844,10.2592,1.55093,0.00103987,0.00103987,0.00103987
21,396.179,0.7712,2.23978,1.3359,0.74349,0.72723,0.71399,0.52543,0.56731,9.8999,1.27802,0.00100687,0.00100687,0.00100687
22,417.384,0.6385,5.17836,1.16195,0.56441,0.75,0.76008,0.58112,0.62854,9.69627,1.37314,0.000973861,0.000973861,0.000973861
23,438.75,0.69516,4.90715,1.27766,0.54426,0.625,0.5733,0.40818,0.69175,10.1891,1.39726,0.000940855,0.000940855,0.000940855
24,460.866,0.67164,3.08516,1.25346,0.48023,0.375,0.41578,0.22966,0.93253,10.2766,1.65355,0.000907848,0.000907848,0.000907848
25,482.746,0.78152,2.54944,1.31028,0.47367,0.375,0.38849,0.2123,0.73409,10.5028,1.44335,0.000874842,0.000874842,0.000874842
26,504.41,0.66409,2.6792,1.31013,0.46823,0.375,0.35742,0.22941,0.65029,11.1257,1.35772,0.000841835,0.000841835,0.000841835
27,526.166,0.57819,2.25669,1.17813,0.3524,0.75,0.43983,0.33298,0.57143,12.8911,1.2723,0.000808828,0.000808828,0.000808828
28,547.341,0.53121,4.4993,1.0648,0.36983,0.625,0.38138,0.30026,0.58614,11.7731,1.22689,0.000775822,0.000775822,0.000775822
29,568.961,0.71431,2.19708,1.31653,0.45219,0.75,0.41532,0.35061,0.47673,10.4957,1.08282,0.000742815,0.000742815,0.000742815
30,590.219,0.73881,2.53768,1.29631,0.45788,0.7398,0.42332,0.36601,0.41964,9.37437,1.02156,0.000709809,0.000709809,0.000709809
31,611.827,0.6065,3.59414,1.25418,0.56181,0.5,0.59256,0.52265,0.38344,8.63844,1.00386,0.000676802,0.000676802,0.000676802
32,633.456,0.55576,2.50434,1.1717,0.58532,0.70872,0.62789,0.55655,0.37089,8.7411,0.98071,0.000643795,0.000643795,0.000643795
33,654.808,0.5504,4.14223,1.13496,0.62245,0.875,0.71226,0.62852,0.35059,9.36026,0.96914,0.000610789,0.000610789,0.000610789
34,676.623,0.56422,2.06923,1.204,0.69804,0.875,0.77997,0.68779,0.38007,9.42896,1.03947,0.000577782,0.000577782,0.000577782
35,698.469,0.61795,1.96082,1.22728,0.65798,0.96415,0.78452,0.69358,0.37962,9.69442,1.05872,0.000544776,0.000544776,0.000544776
36,719.834,0.58404,2.09521,1.22774,0.65001,0.9313,0.7631,0.66161,0.40308,9.40866,1.10705,0.000511769,0.000511769,0.000511769
37,741.758,0.52965,2.01811,1.14248,0.53251,1,0.7015,0.57368,0.42997,9.23633,1.16303,0.000478762,0.000478762,0.000478762
38,763.539,0.53258,3.15889,1.15804,0.53402,0.86056,0.70821,0.58499,0.43348,8.70531,1.15861,0.000445756,0.000445756,0.000445756
39,785.157,0.46571,5.09267,0.98704,0.52294,0.75,0.72289,0.58607,0.44896,8.24068,1.17082,0.000412749,0.000412749,0.000412749
40,806.417,0.6453,3.17224,1.1317,0.64956,0.69867,0.74726,0.59695,0.46165,8.06881,1.18083,0.000379743,0.000379743,0.000379743
41,827.599,0.50938,6.46362,1.11819,0.62931,0.75,0.73945,0.59241,0.47304,7.96956,1.191,0.000346736,0.000346736,0.000346736
42,848.53,0.39191,5.21439,1.0729,0.56042,0.625,0.74451,0.63663,0.47137,7.92606,1.17187,0.000313729,0.000313729,0.000313729
43,869.763,0.32856,6.64384,0.94723,0.86119,0.77836,0.8595,0.70364,0.42008,7.76411,1.13811,0.000280723,0.000280723,0.000280723
44,890.882,0.26223,6.96832,0.81355,0.85345,0.7306,0.86924,0.71421,0.41242,7.83818,1.10169,0.000247716,0.000247716,0.000247716
45,912.038,0.30588,5.69938,0.86088,0.85317,0.72917,0.86303,0.72134,0.40093,7.91554,1.0724,0.00021471,0.00021471,0.00021471
46,933.328,0.17915,6.81179,0.76144,0.74495,0.625,0.79975,0.67358,0.38911,8.00667,1.06584,0.000181703,0.000181703,0.000181703
47,954.239,0.26431,4.78933,0.95721,0.85368,0.73182,0.81832,0.69597,0.38348,8.04802,1.05491,0.000148696,0.000148696,0.000148696
48,975.694,0.25381,5.01207,0.9195,0.85614,0.74474,0.81832,0.69597,0.38466,8.04294,1.05765,0.00011569,0.00011569,0.00011569
49,996.978,0.24703,5.44922,0.82713,0.74661,0.875,0.83778,0.7087,0.38064,8.13046,1.05605,8.26832e-05,8.26832e-05,8.26832e-05
50,1018.4,0.27479,5.45952,0.89734,0.76337,0.81015,0.8584,0.72599,0.37648,8.11889,1.05376,4.96766e-05,4.96766e-05,4.96766e-05
